phase,samples,p50_ms,p95_ms,throughput_ops_per_second,canonical_rows_written,projection_rows_written,total_rows_written,relation_bytes_delta,wal_bytes_delta,rows_written_per_operation,relation_bytes_per_operation,wal_bytes_per_operation
without_required_access_audit,50,0.168,0.381,4933.399,0,0,0,0,2024,0.000,0.000,40.480
with_required_access_audit,50,0.459,0.957,1887.149,50,50,100,131072,767104,2.000,2621.440,15342.080
