phase,samples,p50_ms,p95_ms,throughput_ops_per_second,canonical_rows_written,projection_rows_written,total_rows_written,relation_bytes_delta,wal_bytes_delta,rows_written_per_operation,relation_bytes_per_operation,wal_bytes_per_operation
without_required_access_audit,100,0.138,0.314,6319.115,0,0,0,0,4000,0.000,0.000,40.000
with_required_access_audit,100,0.668,1.526,1327.122,100,100,200,245760,2222288,2.000,2457.600,22222.880
